CMDLINE /Users/zaksingh/cambridge/rejoice/venv/bin/python ./ppo.py
MEM 505.750000 1653602390.7015
MEM 505.750000 1653602390.8027
MEM 505.750000 1653602390.9032
MEM 505.750000 1653602391.0054
MEM 505.750000 1653602391.1090
MEM 505.750000 1653602391.2128
MEM 505.750000 1653602391.3178
MEM 505.750000 1653602391.4183
MEM 505.750000 1653602391.5222
MEM 505.750000 1653602391.6271
MEM 505.750000 1653602391.7283
MEM 505.750000 1653602391.8317
MEM 505.750000 1653602391.9360
MEM 504.761719 1653602392.0366
MEM 504.761719 1653602392.1394
MEM 504.761719 1653602392.2433
MEM 504.761719 1653602392.3435
MEM 504.792969 1653602392.4464
MEM 504.800781 1653602392.5514
MEM 504.808594 1653602392.6558
MEM 504.847656 1653602392.7601
MEM 504.851562 1653602392.8650
MEM 504.875000 1653602392.9696
MEM 504.875000 1653602393.0741
MEM 504.875000 1653602393.1786
MEM 504.875000 1653602393.2831
MEM 505.105469 1653602393.3881
MEM 505.351562 1653602393.4884
MEM 506.351562 1653602393.5890
MEM 505.761719 1653602393.6941
MEM 509.675781 1653602393.7992
MEM 512.843750 1653602393.9039
MEM 518.851562 1653602394.0082
MEM 528.382812 1653602394.1127
MEM 518.390625 1653602394.2173
MEM 510.777344 1653602394.3226
MEM 508.562500 1653602394.4267
MEM 509.410156 1653602394.5311
MEM 514.949219 1653602394.6351
MEM 527.750000 1653602394.7400
MEM 525.468750 1653602394.8403
MEM 511.097656 1653602394.9410
MEM 509.542969 1653602395.0428
MEM 509.070312 1653602395.1464
MEM 512.847656 1653602395.2514
MEM 518.320312 1653602395.3555
MEM 529.234375 1653602395.4571
MEM 514.628906 1653602395.5610
MEM 507.148438 1653602395.6661
MEM 507.148438 1653602395.7697
MEM 507.152344 1653602395.8720
MEM 507.152344 1653602395.9761
MEM 507.152344 1653602396.0809
MEM 507.152344 1653602396.1852
MEM 507.152344 1653602396.2856
MEM 507.152344 1653602396.3875
MEM 507.152344 1653602396.4896
MEM 507.152344 1653602396.5901
MEM 507.152344 1653602396.6932
MEM 507.152344 1653602396.7976
MEM 507.152344 1653602396.9020
MEM 507.152344 1653602397.0065
MEM 507.152344 1653602397.1109
MEM 507.160156 1653602397.2140
MEM 507.160156 1653602397.3179
MEM 507.160156 1653602397.4230
MEM 507.160156 1653602397.5244
MEM 507.160156 1653602397.6289
MEM 507.160156 1653602397.7291
MEM 507.160156 1653602397.8342
MEM 507.160156 1653602397.9381
MEM 507.160156 1653602398.0393
MEM 507.160156 1653602398.1404
MEM 507.300781 1653602398.2427
MEM 507.734375 1653602398.3430
MEM 507.734375 1653602398.4434
MEM 507.734375 1653602398.5445
MEM 507.753906 1653602398.6464
MEM 508.058594 1653602398.7515
MEM 508.085938 1653602398.8519
MEM 508.085938 1653602398.9526
MEM 511.078125 1653602399.0529
MEM 528.500000 1653602399.1574
MEM 512.542969 1653602399.2587
MEM 511.894531 1653602399.3622
MEM 518.082031 1653602399.4629
MEM 531.570312 1653602399.5680
MEM 520.507812 1653602399.6711
MEM 512.929688 1653602399.7751
MEM 512.000000 1653602399.8760
MEM 519.875000 1653602399.9764
MEM 530.750000 1653602400.0810
MEM 514.183594 1653602400.1854
MEM 512.640625 1653602400.2897
MEM 512.179688 1653602400.3922
MEM 517.226562 1653602400.4937
MEM 532.617188 1653602400.5943
MEM 522.125000 1653602400.6983
MEM 513.203125 1653602400.8034
MEM 512.039062 1653602400.9050
MEM 517.453125 1653602401.0094
MEM 531.730469 1653602401.1099
MEM 512.382812 1653602401.2104
MEM 510.394531 1653602401.3166
MEM 510.394531 1653602401.4210
MEM 510.394531 1653602401.5260
MEM 510.394531 1653602401.6307
MEM 510.394531 1653602401.7349
MEM 510.394531 1653602401.8391
MEM 510.394531 1653602401.9411
MEM 510.394531 1653602402.0424
MEM 510.394531 1653602402.1469
MEM 510.402344 1653602402.2515
MEM 510.402344 1653602402.3564
MEM 510.410156 1653602402.4603
MEM 510.417969 1653602402.5638
MEM 510.425781 1653602402.6679
MEM 510.441406 1653602402.7685
MEM 510.449219 1653602402.8733
MEM 510.457031 1653602402.9741
MEM 510.464844 1653602403.0761
MEM 510.476562 1653602403.1806
MEM 510.488281 1653602403.2852
MEM 510.496094 1653602403.3899
MEM 510.507812 1653602403.4902
MEM 510.519531 1653602403.5949
MEM 510.519531 1653602403.6973
MEM 510.550781 1653602403.8015
MEM 510.550781 1653602403.9058
MEM 510.550781 1653602404.0107
MEM 510.550781 1653602404.1152
MEM 510.550781 1653602404.2197
MEM 510.550781 1653602404.3241
MEM 510.550781 1653602404.4286
MEM 510.675781 1653602404.5328
MEM 510.902344 1653602404.6371
MEM 510.937500 1653602404.7421
MEM 516.300781 1653602404.8467
MEM 516.753906 1653602404.9516
MEM 522.796875 1653602405.0557
MEM 535.437500 1653602405.1603
MEM 524.386719 1653602405.2623
MEM 517.207031 1653602405.3644
MEM 517.738281 1653602405.4692
MEM 523.226562 1653602405.5735
MEM 535.503906 1653602405.6763
MEM 534.136719 1653602405.7808
MEM 520.339844 1653602405.8817
MEM 517.277344 1653602405.9857
MEM 517.808594 1653602406.0887
MEM 518.621094 1653602406.1929
MEM 533.277344 1653602406.2932
MEM 539.902344 1653602406.3967
MEM 517.121094 1653602406.5015
MEM 517.855469 1653602406.6057
MEM 517.738281 1653602406.7097
MEM 521.925781 1653602406.8140
MEM 537.750000 1653602406.9186
MEM 516.000000 1653602407.0230
MEM 516.000000 1653602407.1275
MEM 516.000000 1653602407.2322
MEM 516.000000 1653602407.3370
MEM 516.000000 1653602407.4411
MEM 516.000000 1653602407.5460
MEM 516.000000 1653602407.6501
MEM 516.000000 1653602407.7547
MEM 515.011719 1653602407.8592
MEM 515.011719 1653602407.9594
MEM 515.011719 1653602408.0611
MEM 515.011719 1653602408.1638
MEM 515.011719 1653602408.2681
MEM 515.042969 1653602408.3722
MEM 515.042969 1653602408.4730
MEM 515.042969 1653602408.5761
MEM 515.050781 1653602408.6792
MEM 515.050781 1653602408.7825
MEM 515.050781 1653602408.8871
MEM 515.062500 1653602408.9909
MEM 515.062500 1653602409.0953
MEM 515.062500 1653602409.1999
MEM 515.074219 1653602409.3047
MEM 515.074219 1653602409.4096
MEM 515.074219 1653602409.5133
MEM 513.011719 1653602409.6181
MEM 513.011719 1653602409.7228
MEM 513.011719 1653602409.8258
MEM 513.011719 1653602409.9305
MEM 513.019531 1653602410.0335
MEM 513.019531 1653602410.1362
MEM 513.019531 1653602410.2407
MEM 513.019531 1653602410.3445
MEM 513.246094 1653602410.4485
MEM 513.281250 1653602410.5528
MEM 513.281250 1653602410.6576
MEM 516.796875 1653602410.7620
MEM 514.773438 1653602410.8665
MEM 518.890625 1653602410.9710
MEM 518.722656 1653602411.0749
MEM 537.972656 1653602411.1759
MEM 534.773438 1653602411.2762
MEM 520.816406 1653602411.3765
MEM 519.695312 1653602411.4789
MEM 519.640625 1653602411.5827
MEM 523.722656 1653602411.6857
MEM 537.613281 1653602411.7891
MEM 525.285156 1653602411.8904
MEM 519.085938 1653602411.9925
MEM 519.539062 1653602412.0972
MEM 520.359375 1653602412.2015
MEM 524.496094 1653602412.3056
MEM 538.394531 1653602412.4101
MEM 522.746094 1653602412.5148
MEM 519.320312 1653602412.6197
MEM 519.277344 1653602412.7241
MEM 524.742188 1653602412.8287
MEM 518.320312 1653602412.9329
MEM 518.320312 1653602413.0376
MEM 518.320312 1653602413.1391
MEM 518.320312 1653602413.2401
MEM 517.437500 1653602413.3442
MEM 516.449219 1653602413.4482
MEM 516.449219 1653602413.5516
MEM 516.449219 1653602413.6556
MEM 516.449219 1653602413.7607
MEM 516.449219 1653602413.8649
MEM 516.449219 1653602413.9681
MEM 516.453125 1653602414.0733
MEM 516.457031 1653602414.1772
MEM 516.468750 1653602414.2806
MEM 516.476562 1653602414.3845
MEM 516.484375 1653602414.4882
MEM 516.492188 1653602414.5908
MEM 516.507812 1653602414.6915
MEM 516.511719 1653602414.7949
MEM 516.523438 1653602414.8950
MEM 516.531250 1653602414.9965
MEM 516.542969 1653602415.1016
MEM 516.550781 1653602415.2053
MEM 516.562500 1653602415.3056
MEM 515.609375 1653602415.4060
MEM 515.648438 1653602415.5106
MEM 515.648438 1653602415.6150
MEM 515.648438 1653602415.7194
MEM 515.648438 1653602415.8230
MEM 515.648438 1653602415.9237
MEM 515.648438 1653602416.0267
MEM 515.648438 1653602416.1311
MEM 515.648438 1653602416.2332
MEM 515.648438 1653602416.3344
MEM 515.863281 1653602416.4358
MEM 515.992188 1653602416.5401
MEM 516.035156 1653602416.6427
MEM 517.593750 1653602416.7428
MEM 519.781250 1653602416.8465
MEM 523.757812 1653602416.9516
MEM 520.523438 1653602417.0547
MEM 520.425781 1653602417.1563
MEM 525.863281 1653602417.2608
MEM 539.671875 1653602417.3630
MEM 526.105469 1653602417.4682
MEM 520.730469 1653602417.5707
MEM 520.332031 1653602417.6756
MEM 526.105469 1653602417.7803
MEM 536.046875 1653602417.8849
MEM 541.363281 1653602417.9896
MEM 526.609375 1653602418.0899
MEM 521.011719 1653602418.1924
MEM 520.824219 1653602418.2964
MEM 526.175781 1653602418.4010
MEM 529.394531 1653602418.5060
MEM 540.250000 1653602418.6099
MEM 535.261719 1653602418.7144
MEM 520.179688 1653602418.8195
MEM 519.945312 1653602418.9232
MEM 519.945312 1653602419.0268
MEM 517.964844 1653602419.1320
MEM 517.964844 1653602419.2366
MEM 517.964844 1653602419.3417
MEM 517.964844 1653602419.4469
MEM 517.964844 1653602419.5516
MEM 517.964844 1653602419.6528
MEM 517.964844 1653602419.7558
MEM 517.964844 1653602419.8560
MEM 517.964844 1653602419.9590
MEM 517.964844 1653602420.0612
MEM 517.964844 1653602420.1656
MEM 517.964844 1653602420.2682
MEM 517.964844 1653602420.3724
MEM 517.964844 1653602420.4763
MEM 517.964844 1653602420.5771
MEM 517.964844 1653602420.6816
MEM 517.964844 1653602420.7831
MEM 517.964844 1653602420.8866
MEM 517.964844 1653602420.9905
MEM 517.964844 1653602421.0950
MEM 517.964844 1653602421.1995
MEM 517.976562 1653602421.3040
MEM 517.976562 1653602421.4082
MEM 517.023438 1653602421.5083
MEM 517.023438 1653602421.6090
MEM 517.023438 1653602421.7094
MEM 517.023438 1653602421.8106
MEM 517.023438 1653602421.9134
MEM 517.035156 1653602422.0181
MEM 517.035156 1653602422.1205
MEM 517.035156 1653602422.2211
MEM 517.035156 1653602422.3220
MEM 517.035156 1653602422.4261
MEM 517.253906 1653602422.5303
MEM 517.300781 1653602422.6305
MEM 517.300781 1653602422.7318
MEM 523.156250 1653602422.8324
MEM 523.156250 1653602422.9365
MEM 545.675781 1653602423.0392
MEM 529.457031 1653602423.1438
MEM 523.363281 1653602423.2482
MEM 524.273438 1653602423.3531
MEM 523.281250 1653602423.4574
MEM 528.937500 1653602423.5606
MEM 542.824219 1653602423.6650
MEM 543.082031 1653602423.7684
MEM 529.253906 1653602423.8699
MEM 523.535156 1653602423.9708
MEM 524.398438 1653602424.0724
MEM 526.402344 1653602424.1730
MEM 546.316406 1653602424.2771
MEM 534.167969 1653602424.3815
MEM 522.984375 1653602424.4862
MEM 524.906250 1653602424.5908
MEM 523.785156 1653602424.6941
MEM 526.406250 1653602424.7986
MEM 529.628906 1653602424.9029
MEM 523.886719 1653602425.0076
MEM 522.890625 1653602425.1117
MEM 522.890625 1653602425.2138
MEM 521.898438 1653602425.3183
MEM 521.898438 1653602425.4229
MEM 521.898438 1653602425.5266
MEM 521.898438 1653602425.6282
MEM 521.898438 1653602425.7301
MEM 521.898438 1653602425.8323
MEM 521.898438 1653602425.9364
MEM 521.898438 1653602426.0405
MEM 521.898438 1653602426.1449
MEM 521.898438 1653602426.2497
MEM 521.015625 1653602426.3519
MEM 521.015625 1653602426.4560
MEM 521.015625 1653602426.5608
MEM 521.015625 1653602426.6633
MEM 521.015625 1653602426.7682
MEM 521.015625 1653602426.8723
MEM 521.027344 1653602426.9765
MEM 521.035156 1653602427.0779
MEM 521.042969 1653602427.1798
MEM 521.054688 1653602427.2806
MEM 518.097656 1653602427.3845
MEM 518.097656 1653602427.4877
MEM 518.148438 1653602427.5896
MEM 518.148438 1653602427.6908
MEM 518.148438 1653602427.7914
